"Gas.Utility","Electric.Utility","Customer.Type","Total.Project.Cost","Total.Incentives","Fuel.Type","Year.Home.Built","Size.of.Home","Measure.Type","FYES","HRGJ"
1,6,1,11000,4000,10,1965,2250,1,795,2
9,5,1,6000,3000,9,1949,1380,1,50,2
14,8,1,13070,4385,9,1987,1232,1,139,2
14,8,2,675,0,9,1972,2366,1,12,2
11,6,1,5124,2562,1,1945,1632,1,147,2
10,5,2,9900,0,9,1981,3310,1,68,2
14,8,1,5200,2600,9,1943,1400,1,62,2
14,8,2,8751,0,9,1960,1138,1,139,2
14,8,2,11971,0,9,2001,3958,1,198,2
14,8,2,4866,0,9,1959,1711,1,119,2
10,5,2,8800,0,9,1960,1390,1,374,2
1,2,1,14500,7250,10,1949,2100,1,1216,2
1,5,2,9000,0,11,2015,2076,1,163,2
11,6,2,8480,0,9,2006,1250,1,105,2
10,5,1,8850,4000,9,1952,1840,1,54,2
14,8,1,7942,3971,9,1929,1638,1,27,2
11,8,2,4400,0,9,1991,2475,1,22,2
14,8,2,7000,0,9,1910,1782,1,170,2
10,5,2,4900,0,9,1900,1756,1,117,2
11,6,1,12990,4068,9,1910,2016,1,209,2
14,4,1,7125,3563,9,1950,1800,1,35,2
14,8,2,4850,0,9,1989,2300,1,39,2
1,5,1,6107,1553,10,1898,3329,1,362,2
13,7,2,7000,0,9,1964,2424,1,636,2
14,5,2,5895,0,9,1900,1572,1,138,2
14,8,2,3088,0,9,1989,1284,1,17,2
14,8,2,8480,0,9,1997,2054,2,191,2
14,8,2,14177,0,9,1999,1634,1,192,2
9,6,2,13327,0,9,1990,4000,1,224,2
9,5,2,4300,0,9,1930,1196,1,81,2
14,8,2,11168,0,9,1961,2064,1,317,2
14,8,1,5077,2539,9,1935,1644,1,129,2
10,5,2,3990,0,9,1999,3033,1,34,2
9,5,1,7961,3980,9,1956,1620,1,204,2
1,5,1,5395,2598,10,1974,1152,1,982,2
1,8,2,17350,0,10,1985,1568,1,95,2
1,5,1,13500,4000,11,1991,3456,1,570,2
9,5,1,7570,3743,9,1953,2484,1,150,2
1,8,2,4200,0,11,1988,1608,1,55,2
13,7,2,6500,0,9,1991,2737,1,266,2
14,4,1,10626,4000,9,1972,2560,1,76,2
3,2,2,23806,0,9,1927,3976,1,1371,2
11,5,2,4613,0,9,1930,1360,1,173,2
14,8,2,3788,0,9,1950,1274,1,4,1
14,8,1,9005,2527,9,1963,2184,1,209,2
14,8,1,11561,4000,9,1925,1516,1,366,2
10,5,1,7325,2640,9,1958,1120,1,58,1
14,8,2,5928,0,9,1913,1800,1,202,2
14,8,2,7027,0,9,1945,1266,1,39,2
14,8,2,4830,0,9,1954,2184,1,10,1
14,8,2,5500,0,9,1988,1770,1,195,2
1,5,2,8099,0,10,1939,2860,1,291,2
13,7,1,14122,5000,9,1935,2432,1,1289,2
9,5,1,5657,2829,9,1940,1415,1,71,2
1,6,2,5200,0,11,1895,1620,1,97,2
1,5,2,9050,0,10,1989,1248,1,127,2
14,8,1,2400,1200,9,1956,1340,1,10,2
10,5,1,7304,2290,9,1962,2320,1,244,2
14,8,2,4831,0,9,1963,1800,1,99,2
14,8,1,8180,4000,9,1925,1550,1,72,2
1,1,2,8000,0,10,2005,2704,1,681,2
4,6,2,11698,0,9,1935,1950,1,198,2
11,6,1,6750,3375,9,1950,1350,1,353,2
14,8,1,6970,3485,9,1950,1672,1,198,2
14,8,2,11690,0,9,1966,1665,1,159,2
14,4,2,10030,0,9,1973,1395,1,226,2
10,5,1,6500,3250,9,1900,1656,1,282,2
9,5,1,28388,8000,9,1919,2841,1,829,2
10,8,2,7000,0,9,1878,1504,1,166,2
14,8,1,4660,2330,9,1982,1677,1,86,2
14,8,1,7250,3625,9,1910,1200,1,247,2
14,8,2,3500,0,9,1930,1200,1,51,2
10,5,2,10400,0,9,2003,3154,1,331,2
3,2,1,10011,5000,9,1930,1606,1,608,2
9,8,2,5100,0,9,1910,1100,1,56,2
1,6,2,8591,0,6,1986,1320,1,21,2
14,8,1,7979,3990,9,1955,1254,1,203,2
14,8,2,4725,0,9,1976,1795,1,20,2
1,5,1,6976,3488,1,1870,2876,1,760,2
14,8,2,5212,0,9,1977,3900,1,34,2
9,5,1,10400,5200,9,1920,2686,1,249,2
14,8,1,4825,2413,9,1925,3214,1,86,2
1,6,1,4800,2400,11,1986,896,1,200,2
14,8,2,9013,0,9,1985,1632,1,217,2
14,8,1,8500,1460,9,1900,1584,2,84,2
14,8,2,14460,0,9,1920,2248,1,278,2
14,8,2,13401,0,9,2001,2558,1,170,2
10,5,1,3000,1500,9,1950,1224,1,287,2
14,8,2,9975,0,9,1985,3072,1,128,2
14,8,2,2456,0,9,1977,1625,1,44,2
14,8,2,8361,0,9,1983,1040,1,185,2
10,2,1,17000,4000,9,1910,3024,1,589,2
11,6,2,17356,0,9,2002,2100,1,433,2
9,5,1,8800,4000,9,1920,1288,2,288,2
10,5,1,7900,3400,1,1920,1900,1,275,2
10,5,1,13008,5000,9,1927,1734,1,511,2
14,8,2,3900,0,9,1954,2016,1,62,2
14,8,1,7487,3744,9,1958,1268,2,172,2
10,5,2,3600,0,9,2003,1962,1,46,2
9,6,2,5346,0,9,1930,2500,1,22,2
14,8,2,5950,0,9,1996,2813,1,23,2
14,8,2,6113,0,9,1939,1376,1,312,2
1,5,1,5789,2894,11,1950,1232,1,510,2
14,5,2,4120,0,9,1960,2512,1,35,2
